Question,Answer A,Answer B,Answer C,Answer D,Answer E
La membrana nucleare è strettamente collegata con quale delle seguenti strutture?,Reticolo endoplasmatico,Mitocondrio,Lisosoma,Flagello,Apparato del Golgi
Quale delle seguenti affermazioni sui ribosomi è ERRATA?,Sono composti da lipidi e proteine,Sono presenti in tutte le cellule,Sono responsabili della sintesi proteica,Sono formati da due subunità,Sono composti da RNA e proteine
"I ribosomi delle cellule procariote sono composti da due subunità, una maggiore e una minore, chiamate rispettivamente:",50S e 30S,60S e 40S,80S e 70S,40S e 20S,30S e 10S
"I ribosomi delle cellule eucariote sono composti da due subunità, una maggiore e una minore, chiamate rispettivamente:",60S e 40S,50S e 30S,80S e 70S,40S e 20S,30S e 10S
I ribosomi delle cellule eucariote hanno coefficiente di sedimentazione pari a:,80S,50S,70S,40S,30S
I ribosomi delle cellule procariote hanno coefficiente di sedimentazione pari a:,70S,50S,80S,40S,30S
Il trasporto di sostanze tra il nucleo e il citoplasma attraverso la membrana nucleare:,avviene principalmente tramite i pori nucleari,non avviene,avviene per diffusione,avviene tramite endocitosi,avviene tramite canali voltaggio-dipendenti
Quale delle seguenti strutture cellulari è responsabile dello smistamento delle proteine neosintetizzate provenienti dal reticolo endoplasmatico?,Apparato di Golgi,Mitocondrio,Cloroplasto,Vacuolo,Lisosoma
Quale delle seguenti è una delle funzioni dell'apparato di Golgi?,Lo smistamento dei prodotti provenienti dal reticolo endoplasmatico,Fornire alle cellule l'energia di cui hanno bisogno,"Demolire, digerire e riciclare molecole e materiali pericolosi per la cellula",Isolare fisicamente la cellula dall'ambiente esterno,La traduzione degli RNA messaggeri
Quale delle seguenti è una delle funzioni dei lisosomi?,"Demolire, digerire e riciclare molecole e materiali pericolosi per la cellula",Fornire alle cellule l'energia di cui hanno bisogno,Lo smistamento dei prodotti provenienti dal reticolo endoplasmatico,Isolare fisicamente la cellula dall'ambiente esterno,La traduzione degli RNA messaggeri
Quale delle seguenti è una delle funzioni tipiche della membrana cellulare?,Separare fisicamente la cellula dall'ambiente esterno,Fornire alle cellule l'energia di cui hanno bisogno,Lo smistamento dei prodotti provenienti dal reticolo endoplasmatico,"Demolire, digerire e riciclare molecole e materiali pericolosi per la cellula",La traduzione degli RNA messaggeri
Quale delle seguenti è una delle funzioni dei mitocondri?,Fornire alle cellule l'energia di cui hanno bisogno,Isolare fisicamente la cellula dall'ambiente esterno,Lo smistamento dei prodotti provenienti dal reticolo endoplasmatico,"Demolire, digerire e riciclare molecole e materiali pericolosi per la cellula",La traduzione degli RNA messaggeri
Quale delle seguenti è una delle funzioni dei ribosomi?,La traduzione degli RNA messaggeri,Isolare fisicamente la cellula dall'ambiente esterno,Lo smistamento dei prodotti provenienti dal reticolo endoplasmatico,"Demolire, digerire e riciclare molecole e materiali pericolosi per la cellula",Fornire alle cellule l'energia di cui hanno bisogno
Quale delle seguenti strutture si occupa della traduzione degli RNA messaggeri?,Ribosoma,Mitocondrio,Membrana plasmatica,Apparato di Golgi,Lisosoma
Quale delle seguenti strutture si occupa di separare l’ambiente intracellulare da quello extracellulare?,Membrana plasmatica,Mitocondrio,Ribosoma,Apparato di Golgi,Lisosoma
"Quale delle seguenti strutture si occupa di demolire, digerire e riciclare molecole e materiali pericolosi per la cellula?",Lisosoma,Membrana plasmatica,Ribosoma,Apparato di Golgi,Mitocondrio
Quale tra le biomolecole elencate NON è presente nella membrana delle cellule animali?,Base azotata,Fosfolipide,Glicoproteina,Sterolo,Glicolipide
Quale delle seguenti affermazioni sui lipidi è VERA?,Fungono da riserva energetica,Degradano i prodotti di scarto della cellula,Hanno funzione catalitica,Producono immunoglobuline,Immagazzinano l'informazione genetica
Quale delle seguenti affermazioni sugli acidi nucleici è VERA?,Immagazzinano l'informazione genetica,Degradano i prodotti di scarto della cellula,Sono componenti delle membrane delle cellule animali,Hanno una funzione prettamente strutturale,Fungono da riserva energetica
Quale delle seguenti NON è una funzione tipica delle proteine?,Immagazzinare l'informazione genetica,Partecipare alla risposta immunitaria,Funzione strutturale,Funzione regolatoria,Funzione catalitica
"Gli enzimi fungono da catalizzatori biologici, ovvero:",abbassano l'energia di attivazione di una reazione chimica accelerandola,alzano l'energia di attivazione di una reazione chimica accelerandola,abbassano l'energia di attivazione di una reazione chimica rallendandola,alzano l'energia di attivazione di una reazione chimica rallentandola,non influenzano la velocità di reazione
Quale delle seguenti affermazioni sugli enzimi è FALSA?,Diminuiscono la velocità con la quale avviene la reazione,Non si consumano durante la reazione chimica,Abbassano l'energia di attivazione di una reazione chimica,Sono efficaci anche in piccole dosi,Hanno azione specifica nei confronti di un substrato
Quale dei seguenti organuli contiene un proprio genoma extracromosomico?,Mitocondri,Lisosomi,Apparato di Golgi,Reticolo endoplasmatico,Perossisomi
Quale dei seguenti organuli contiene un proprio genoma extracromosomico?,Cloroplasti,Lisosomi,Apparato di Golgi,Reticolo endoplasmatico,Vacuolo
Quale delle seguenti affermazioni caratterizza i virus?,Sono endoparassiti obbligati,Sono eucarioti,Sono procarioti,Hanno un nucleo,Sono visibili al microscopio ottico
Quale delle seguenti affermazioni sui batteri NON è corretta ?,Sono endoparassiti obbligati,Sono microrganismi unicellulari,Hanno dimensioni nell'ordine dei micrometri,Il loro DNA occupa una regione del citoplasma detta nucleoide,Possono essere visibili al microscopio ottico
"Quale tra le seguenti strutture è presente nei virus definiti ""nudi""?",Capside,Reticolo endoplasmatico,Apparato del Golgi,Lisosomi,Mitocontri
"Il pericapside, o envelope, è una struttura tipica:",di alcuni tipi di virus,di tutte le cellule eucariote,delle cellule animali,delle cellule vegetali,dei batteri
Quale delle seguenti strutture NON è presente nei virus?,Ribosomi,Capside,Envelope,Core interno,Tegumento
Quale tra le seguenti strutture può essere presente in alcuni tipi virus?,Envelope,Ribosomi,Apparato del Golgi,Perossisomi,Mitocontri
Indicare quale delle seguenti strutture può essere presente in alcuni tipi di virus.,Tegumento,Vacuoli,Apparato del Golgi,Lisosomi,Cloroplasti
Quale delle seguenti NON è una funzione della membrana cellulare?,Fungere da catalizzatore,Isolare la cellula dall'ambiente esterno,Regolare il traffico di ioni e molecole tra esterno e interno della cellula,Permettere la comunicazione con le cellule adiacenti,Supportare strutturalmente la cellula
La membrana cellulare è:,una barriera selettivamente permeabile,un ostacolo per il passaggio di tutte le sostanze,è impermeabile all'acqua,una struttura rigida,una struttura permeabile
Quale dei seguenti meccanismi è identificato come trasporto PASSIVO?,Diffusione,Endocitosi,Uniporto,Simporto,Esocitosi
Quale dei seguenti meccanismi NON è un meccanismo di trasporto ATTIVO?,Diffusione,Antiporto,Uniporto,Simporto,Endocitosi
Quale delle seguenti affermazioni riguardo la diffusione facilitata NON è corretta?,Richiede la formazione di vescicole,Avviene secondo gradiente di concentrazione,Non richiede dispendio energetico,È un trasporto passivo,Necessita di trasportatori
Quale delle seguenti affermazioni sul simporto è corretta?,Permette il passaggio simultaneo di due sostanze nella stessa direzione,Non richiede dispendio energetico,Permette il passaggio simultaneo ma in direzione opposta di due sostanze differenti,È un tipo di trasporto passivo,Consente il passaggio di una sola sostanza in un'unica direzione
Quale delle seguenti affermazioni sul antiporto è corretta?,Permette il passaggio simultaneo ma in direzione opposta di due sostanze differenti,Non richiede dispendio energetico,Permette il passaggio simultaneo di due sostanze nella stessa direzione,È un tipo di trasporto passivo,Consente il passaggio di una sola sostanza in un'unica direzione
Quale delle seguenti affermazioni sull'uniporto è corretta?,Consente il passaggio di una sola sostanza in un'unica direzione,Non richiede dispendio energetico,Permette il passaggio simultaneo di due sostanze nella stessa direzione,È un tipo di trasporto passivo,Permette il passaggio simultaneo ma in direzione opposta di due sostanze differenti
"Quale processo di trasporto, tra quelli elencati, viene sfruttato dall'acqua per attraversare normalmente la membrana cellulare?",Osmosi,Endocitosi,Esocitosi,Simporto,Antiporto
Cosa si intende per osmosi?,Un flusso di solvente tra due soluzioni separate da una membrana semipermeabile,Trasporto attivo di molecole attraverso speciali proteine,Trasporto passivo di molecole attraverso speciali proteine,Trasporto di materiale di grandi dimensioni incluso in vescicole all'interno della cellula,Trasporto di materiale di grandi dimensioni incluso in vescicole all'esterno della cellula
Cosa si intende per endocitosi?,Trasporto di materiale incluso in vescicole all'interno della cellula,Trasporto attivo di molecole attraverso speciali proteine,Trasporto passivo di molecole attraverso speciali proteine,Un flusso di solvente tra due soluzioni separate da una membrana semipermeabile,Trasporto di materiale incluso in vescicole all'esterno della cellula
Cosa si intende per esocitosi?,Trasporto di materiale incluso in vescicole all'esterno della cellula,Trasporto attivo di molecole attraverso speciali proteine,Trasporto passivo di molecole attraverso speciali proteine,Un flusso di solvente tra due soluzioni separate da una membrana semipermeabile,Trasporto di materiale incluso in vescicole all'interno della cellula
Cosa si intende per diffusione facilitata?,Trasporto passivo di molecole attraverso speciali proteine,Trasporto attivo di molecole attraverso speciali proteine,Trasporto di materiale di grandi dimensioni incluso in vescicole all'esterno della cellula,Un flusso di solvente tra due soluzioni separate da una membrana semipermeabile,Trasporto di materiale di grandi dimensioni incluso in vescicole all'interno della cellula
Cosa si intende per trasporto attivo primario?,Trasporto di molecole attraverso la membrana che richiede energia,Trasporto di molecole attraverso la membrana che non richiede energia,Un flusso passivo di fluidi e molecole di grandi dimensioni all'esterno della cellula,Un flusso di solvente tra due soluzioni separate da una membrana semipermeabile,Un flusso passivo di fluidi e molecole di grandi dimensioni all'interno della cellula
Cosa si intende per trasporto passivo?,Trasporto di molecole attraverso la membrana che non richiede energia,Trasporto di molecole attraverso la membrana che richiede energia,Trasporto di materiale di grandi dimensioni incluso in vescicole all'esterno della cellula,Un flusso di solvente tra due soluzioni separate da una membrana impermeabile,Trasporto di materiale di grandi dimensioni incluso in vescicole all'interno della cellula
Come viene definito il trasporto di molecole attraverso la membrana che non richiede un dispendio energetico?,Trasporto passivo,Trasporto attivo,Endocitosi,Esocitosi,Simporto
Come viene definito il trasporto di molecole attraverso la membrana che richiede un dispendio energetico?,Trasporto attivo,Trasporto passivo,Osmosi,Diffusione semplice,Diffusione facilitata
Come viene definito il trasporto di materiale incluso in vescicole dall'interno all'esterno della cellula?,Esocitosi,Osmosi,Endocitosi,Trasporto passivo,Simporto
Come viene definito il trasporto di materiale incluso in vescicole dall'esterno all'interno della cellula?,Endocitosi,Osmosi,Esocitosi,Trasporto passivo,Simporto
"Come viene definito il flusso spontaneo di solvente tra due soluzioni a differente concentrazione, separate da una membrana semipermeabile?",Osmosi,Endocitosi,Esocitosi,Uniporto,Simporto
Il trasporto attivo che permette il passaggio simultaneo di due sostanze nella stessa direzione è detto?,Simporto,Uniporto,Antiporto,Diffusione,Diffusione facilitata
Come viene chiamato il trasporto attivo che consente il passaggio di una sola sostanza in un'unica direzione?,Uniporto,Simporto,Antiporto,Diffusione,Diffusione facilitata
Il trasporto attivo che permette il passaggio simultaneo ma in direzione opposta di due sostanze differenti è detto,Antiporto,Simporto,Uniporto,Diffusione,Diffusione facilitata
Nel ciclo cellulare come viene definita la fase che separa due divisione mitotiche?,Interfase,Mitosi,Meiosi,Citodieresi,Metafase
Il processo con cui si indica la divisione nucleare delle cellule viene chiamato:,Mitosi o cariocinesi,Interfase,Anafase,Telofase,Metafase
Il processo di divisione del citoplasma che normalmente segue la mitosi viene chiamato:,citodieresi,Interfase,Anafase,Telofase,Metafase
La fase della mitosi in cui la cromatina si condensa è detta:,Profase,Citodieresi,Anafase,Telofase,Metafase
La fase della mitosi in cui i cromosomi si allineano lungo la piastra equatoriale è detta:,Metafase,Interfase,Anafase,Telofase,Profase
La fase della mitosi in cui i cromatidi fratelli si separano è detta:,Anafase,Interfase,Metafase,Telofase,Profase
La fase della mitosi in cui si riforma la membrana nucleare è detta:,Telofase,Interfase,Metafase,Anafase,Profase
Quale delle seguenti affermazioni sulla meiosi è ERRATA?,Dà origine a cellule diploidi,Consente di ottenere una notevole variabilità del patrimonio genetico,La profase I è a sua volta divisa in diversi stadi,Prevede due divisioni cellulari successive,Porta alla formazione di quattro cellule figlie
"Durante la meiosi, in cosa consiste il fenomeno del crossing-over?",Nello scambio reciproco di segmenti di DNA fra cromosomi omologhi,Nella divisione del citoplasma della cellula madre,Nella scomparsa dell'involucro nucleare,Nella condensazione della cromatina,Nella despiralizzazione dei cromosomi
Durante la citodieresi:,le cellule figlie si separano,si riforma la membrana nucleare,i cromatidi fratelli si separano,i cromosomi si allineano lungo la piastra equatoriale,la cromatina si condensa
Durante la profase:,la cromatina si condensa,si riforma la membrana nucleare,i cromatidi fratelli si separano,i cromosomi si allineano lungo la piastra equatoriale,le cellule figlie si separano
Durante la metafase:,i cromosomi si allineano lungo la piastra equatoriale,si riforma la membrana nucleare,i cromatidi fratelli si separano,la cromatina si condensa,le cellule figlie si separano
Durante l'anafase:,i cromatidi fratelli si separano,si riforma la membrana nucleare,i cromosomi si allineano lungo la piastra equatoriale,la cromatina si condensa,le cellule figlie si separano
Durante la telofase:,si riforma la membrana nucleare,i cromatidi fratelli si separano,i cromosomi si allineano lungo la piastra equatoriale,la cromatina si condensa,le cellule figlie si separano
La fase della mitosi in cui la membrana nucleare si dissolve totalmente è detta:,Prometafase,Interfase,Metafase,Anafase,Telofase
Durante la prometafase:,la membrana nucleare si dissolve totalmente,i cromatidi fratelli si separano,i cromosomi si allineano lungo la piastra equatoriale,i cromosomi si attaccano al fuso,le cellule figlie si separano
Quale dei seguenti NON è uno stadio della profase I?,Citodieresi,Leptotene,Zigotene,Pachitene,Diplotene
Il processo di meiosi dà origine a quante e quali cellule figlie?,Quattro cellule aploidi,Quattro cellule diploidi,Due cellule aploidi,Due cellule diploidi,Una cellula diploide
Il processo di mitosi dà origine a quali e quante cellule figlie?,Due cellule diploidi,Quattro cellule diploidi,Due cellule aploidi,Quattro cellule aploidi,Una cellula diploide
Cosa succede durante la fase S del ciclo cellulare?,La sintesi del DNA,La divisione nucleare,La divisione cellulare,La cellula va in quiescenza,La sintesi di RNA e proteine ma non di DNA
Quale delle seguenti strutture NON è presente nelle cellule vegetali?,Capsula,Cloroplasto,Ribosoma,Citoscheletro,Parete cellulare
La cellulosa è la principale componente della parete cellulare di:,Vegetali,Batteri,Funghi,Animali,Virus
A quale livello strutturale delle proteine appartengono le Alfa-eliche?,Secondo,Primo,Terzo,Quarto,Quinto
A quale livello strutturale delle proteine appartengono i Foglietti beta?,Secondo,Primo,Terzo,Quarto,Quinto
"Cosa s'intende per ""struttura primaria delle proteine""?",Sequenza lineare di amminoacidi,Il ripiegamento della catena polipeptidica,L'assemblamento di due o più catene polipeptidiche,L'organizzazione tridimensionale che assume una proteina,Quinto livello strutturale
Una sequenza lineare di amminoacidi a quale livello strutturale delle proteine corrisponde?,Primo,Secondo,Terzo,Quarto,Quinto
"Cosa s'intende per ""legame peptidico""?",Legame covalente tra due amminoacidi,Legame tra due cellule,Legame tra due molecole d'acqua,Legame tra due neuroni,Legame tra sistema nervoso centrale e periferico
"Cosa s'intende con il termine ""codone"" nel codice genetico?",Sequenza di tre nucleotidi,Sequenza di quattro nucleotidi,Sequenza di cinque nucleotidi,Sequenza di sei nucleotidi,Sequenza di sette nucleotidi
Che ruolo hanno i linfociti nel nostro organismo?,Difesa da agenti patogeni,Trasporto di ferro,Trasporto di molecole nel sangue,Regolazione del pH,Digestione cellulare
"Che ruolo riveste la proteina chiamata ""albumina"" nel nostro organismo?",Trasporto di molecole nel sangue,Difesa da agenti patogeni,Digestione cellulare,Trasporto di ferro,Legame tra due cellule
"Che ruolo riveste la proteina chiamata ""ferritina"" nel nostro organismo?",Deposito del ferro,Difesa da agenti patogeni,Digestione cellulare,Trasporto di molecole nel sangue,Regolazione del pH
"Che ruolo rivestono gli organelli chiamati ""lisosomi"" nel nostro organismo?",Demolizione di macromolecole fagocitate e organelli cellulari invecchiati,Trasporto di ferro,Trasporto di molecole nel sangue,Difesa da agenti patogeni,Regolazione del pH
"Cosa s'intende con il termine ""necrosi""?",Morte cellulare non programmata,Morte cellulare programmata,Mutazione genetica,Silenziamento genico,Trascrizione genica
"Cosa s'intende con il termine ""apoptosi""?",Morte cellulare programmata,Morte cellulare determinata da un trauma cellulare,Mutazione genetica,Silenziamento genico,Trascrizione genica
"Le cellule epiteliali, a quale tessuto dell'organismo appartengono?",Tessuto epiteliale,Tessuto nervoso,Tessuto muscolare,Tessuto connettivo,Tessuto adiposo
Gli epatociti a quale organo appartengono?,Fegato,Cuore,Cervello,Stomaco,Intestino
A quale tessuto dell'organismo appartengono le cellule della glia?,Tessuto nervoso,Tessuto epiteliale,Tessuto muscolare,Tessuto connettivo,Tessuto adiposo
A quale tessuto appartengono gli adipociti?,Tessuto adiposo,Tessuto epiteliale,Tessuto nervoso,Tessuto muscolare liscio,Tessuto muscolare striato
Dove sono localizzate le cellule di Kupffer?,Sinusoidi epatici,Nel soma dei neuroni,Nei dentriti nervosi,Nella guaina mielinica,Nel miocardio
Come si chiama la membrana che riveste e protegge il cuore?,Pericardio,Miocardio,Endocardio,Episoma,Endosoma
"Quali, tra quelle elencate, è un tipo di ghiandola esocrina?",Ghiandola salivare,Tiroide,Ghiandola surrenale,Ghiandola pituitaria,Ghiandola pineale
I trigliceridi sono composti da:,Una molecola di glicerolo e 3 di acidi grassi,Tre molecole di acidi grassi e tre di glicerolo,"Una molecola di glicerolo, due di acidi grassi e una di fosfato","Due molecole di glicerolo, due di acidi grassi e due di fosfati","Una molecola di glicerolo, una di acidi grassi e una di fosfati"
Quale ormone è rilasciato nel sangue in maggiore quantità dalla tiroide?,Tiroxina,Insulina,Glucagone,Ormone follicolo-stimolante,Ossitocina
"Quali, tra le seguenti, è un tipo di ghiandola endocrina?",Tiroide,Ghiandola salivare,Ghiandola sebacea,Ghiandola mammaria,Ghiandola lacrimale
Dove viene prodotta l'insulina?,Nelle cellule beta del pancreas,Nelle cellule alfa del pancreas,Nella tiroide,Nell'ipotalamo,Nelle ghiandole surrenali
Dove viene prodotto il glucagone?,Nelle cellule alfa del pancreas,Nelle cellule beta del pancreas,Nella tiroide,Nell'ipotalamo,Nelle ghiandole surrenali
Dove viene prodotta l'ossitocina?,Nell'ipotalamo,Nelle cellule alfa del pancreas,Nelle cellule beta del pancreas,Nella tiroide,Nelle ghiandole surrenali
Dove viene prodotta l'arginina vasopressina?,Nell'ipotalamo,Nelle cellule alfa del pancreas,Nelle cellule beta del pancreas,Nella tiroide,Nelle ghiandole surrenali
Che ruolo svolge l'insulina?,Riduzione del glucosio nel sangue,Aumento del glucosio nel sangue,Contrazioni muscolari durante il parto,Risposta allo stress,Stimolazione dell'ovulazione
Che ruolo svolge il glucagone?,Aumento del glucosio nel sangue,Riduzione del glucosio nel sangue,Contrazioni muscolari durante il parto,Risposta allo stress,Stimolazione dell'ovulazione
Che ruolo svolge l'ossitocina?,Stimola le contrazioni muscolari durante il parto,Provoca l'aumento del glucosio nel sangue,Stimola l'aumento dei monociti,Stimola la digestione delle proteine,Stimola l'ovulazione
Che ruolo svolge l'arginina vasopressina?,Regola l'equilibrio idrico dell'organismo,Aumenta il glucosio nel sangue,Riduce il glucosio nel sangue,Aumenta le contrazioni muscolari durante il parto,Stimola l'ovulazione
Il cortisolo viene comunemente chiamato anche:,Ormone dello stress,Ormone dell'amore,Ormone sessuale,Ormone antidiuretico,Ormone luteinizzante
L'ormone comunemente associato all'amore è:,Ossitocina,Cortisolo,Glucagone,Insulina,Tiroxina
Cosa stimola l'ormone luteinizzante nella donna?,Ovulazione,Contrazioni muscolari durante il parto,Riduzione del glucosio nel sangue,Aumento del glucosio nel sangue,Risposta allo stress
Cosa stimola l'ormone follicolo-stimolante nel maschio?,La produzione degli spermatozoi,Produzione di pelo,Produzione di progesterone,Aumento del glucosio nel sangue,Risposta allo stress
Che funzione hanno i nocicettori?,Percezione del dolore,Percezione del sapore,Percezione dei colori,Percezione del movimento,Percezione dell'olfatto
Dove si trovano i recettori olfattivi?,Nella mucosa nasale,Nella mucosa gastrointestinale,Nella mucosa genitale,Nella mucosa orale,Nella mucosa oculare
In quale struttura dell'orecchio si trovano i recettori uditivi?,Nella coclea,Nel timpano,Nel padiglione auricolare,Nel canale uditivo esterno,Nella finestra ovale
Che funzione hanno i coni nella retina dell'occhio?,Percezione dei colori,Percezione del movimento,Percezione del dolore,Percezione della pressione oculare,Responsabili del colore dell'iride
Quale tra le seguenti funzioni è svolta dai bastoncelli?,Percezione del movimento,Percezione dei colori,Percezione del dolore,Percezione della pressione oculare,Responsabili del colore dell'iride
"Quali, tra quelli elencati, risultano essere i recettori del gusto?",Papille gustative,Nocicettori,Termocettori,Fotorecettori,Corpuscoli di Pacini
Che funziona ha l'ormone luteinizzante nel maschio?,Produzione di testosterone,Maturazione delle cellule uovo,Riduzione del glucosio nel sangue,Aumento del glucosio nel sangue,Regola il bilancio idrico
Che funzione ha l'ormone follicolo-stimolante nella donna?,Maturazione delle cellule uovo,Produzione di testosterone,Riduzione del glucosio nel sangue,Contrazioni muscolari durante il parto,Aumento del glucosio nel sangue
Che funzione rivestono i termocettori?,Percezione delle variazioni di temperatura,Percezione del dolore,Percezione del sapore,Percezione dei colori,Percezione del movimento
"Quali, tra quelli elencati, risultano essere dei fotorecettori?",Coni e bastoncelli,Papille gustative,Corpuscoli di Pacini,Corpuscoli di Meissner,Corpuscoli di Merkel
"Che cosa sono i cosiddetti ""corpuscoli di Pacini""?",Recettori tattili,Recettori olfattivi,Recettori gustativi,Recettori uditivi,Recettori visivi
"Che cosa sono i cosiddetti ""corpuscoli di Meissner""?",Recettori tattili,Recettori olfattivi,Recettori gustativi,Recettori uditivi,Recettori visivi
"Cosa sono i cosiddetti ""corpuscoli di Merkel""?",Recettori tattili,Recettori olfattivi,Recettori gustativi,Recettori uditivi,Recettori visivi
In cosa sono coinvolte le piastrine?,Coagulazione del sangue,Riduzione del glucosio nel sangue,Aumento del glucosio nel sangue,Regolazione del bilancio idrico nel sangue,Difesa da agenti patogeni
Dove avviene la fosforilazione ossidativa negli eucarioti?,Nella membrana interna mitocondriale,Nella membrana plasmatica,Nella membrana nucleare,Nella membrana vescicolare,Nella membrana basale
"Quali, tra i seguenti, è un tipo di trasporto cellulare attivo?",Esocitosi,Diffusione semplice,Diffusione facilitata,Trasporto facilitato,Filtrazione
"Quali, tra i seguenti, è un tipo di trasporto cellulare passivo?",Diffusione semplice,Esocitosi,Endocitosi,Pinocitosi,Antiporto
"Cosa s'intende con il termine ""Ibridazione""?",L'incrocio tra individui di specie diverse,Fenomeno in cui gli individui scelgono i loro compagni in base alle loro caratteristiche fenotipiche,Variazioni casuali nella frequenza degli alleli,Scambio di geni tra popolazioni separate di una specie attraverso la migrazione,Forze ambientali che influenzano la sopravvivenza e la riproduzione degli organismi
"Quali, tra i seguenti, è un tipo di trasporto che utilizza ATP?",Endocitosi,Diffusione semplice,Diffusione facilitata,Trasporto facilitato,Filtrazione
Quale tipo di trasporto coinvolge il movimento di molecole attraverso la membrana cellulare senza richiedere energia?,Trasporto passivo,Trasporto attivo,Endocitosi,Esocitosi,Pinocitosi
Quale processo di trasporto coinvolge l'inglobamento nella cellula di particelle solide dall'ambiente circostante attraverso vescicole di membrana?,Endocitosi,Trasporto passivo,Diffusione semplice,Osmosi,Filtrazione
Quale meccanismo di trasporto è responsabile del trasferimento di ioni attraverso la membrana cellulare contro il loro gradiente di concentrazione utilizzando l'energia fornita direttamente dall'ATP?,Trasporto attivo primario,Trasporto attivo secondario,Diffusione semplice,Osmosi,Esocitosi
"Quale processo di trasporto coinvolge il movimento delle molecole attraverso la membrana cellulare utilizzando proteine di trasporto specializzate, ma senza richiedere energia?",Trasporto facilitato,Trasporto attivo,Diffusione semplice,Esocitosi,Filtrazione
Quale processo di trasporto coinvolge l'inglobamento di particelle solide dall'ambiente circostante nella cellula attraverso vescicole di membrana?,Endocitosi,Esocitosi,Diffusione semplice,Trasporto attivo,Pinocitosi
"Che tipo di trasporto coinvolge il movimento delle molecole attraverso la membrana cellulare senza l'aiuto di proteine di trasporto, sfruttando direttamente il gradiente di concentrazione?",Diffusione semplice,Trasporto attivo,Endocitosi,Esocitosi,Pinocitosi
Quale è il principale meccanismo di trasporto coinvolto nella formazione del filtrato renale nei nefroni dei reni?,Filtrazione,Trasporto attivo,Osmosi,Esocitosi,Pinocitosi
