Question,Answer A,Answer B,Answer C,Answer D,Answer E
Quando un atomo di carbonio può essere uno stereocentro?,Quando ha quattro sostituenti diversi,Quando è ibridizzato sp2,Quando si trova in un doppio legame,Quando ha almeno due sostituenti uguali,Quando è legato ad almeno due idrogeni
In quale dei seguenti composti NON è presente alcun legame covalente triplo?,Na2Cr2O7,N2,HCN,H2C2,HSCN
"Tra i seguenti passaggi di stato delle sostanze, quale avviene solo se viene fornito calore?",Fusione,Cristallizzazione,Solidificazione,Brinamento,Condensazione
Quanti elettroni non condivisi sono presenti nello strato più esterno di un atomo di azoto della molecola N2H4?,2,3,4,1,5
"In chimica organica la desinenza ""-one"" viene utilizzata per:",i chetoni,le catene superiori a 12 atomi,gli eteri,gli acidi,gli zuccheri formati da più di due anelli
Se un elemento ha numero di massa 32 e numero atomico 15 possiamo dire che ha:,15 protoni e 17 neutroni,almeno 1 isotopo radioattivo,più protoni che neutroni,un ugual numero di protoni e neutroni,17 protoni e 15 neutroni
Il berillio è un:,nessuna delle alternative è corretta,gas nobile,metallo alcalino,lantanide,alogeno
"A 20°C e 1 atm e senza l’uso di catalizzatori, indicare quali sono i prodotti della reazione chimica tra i seguenti reagenti:
H2SO4 + Mg(OH)2 →",MgSO4 + 2H2O,MgSO4 + 2H2,Mg + H2O + SO3,MgS + 2H2O,Mg + H2O + SO4
Che tipo di legami caratterizzano la struttura primaria delle proteine?,Peptidici,Ponti idrogeno,Covalenti omopolari,Esterei,Tioesterei
"Qual è la massa di 9,033 x 1023 molecole di H3BO3? (PA del boro = 10,8 u)","92,7 g","30,9 g","61,8 g","14,98 x 10-24 g","44,7 g"
"Li, Na e K appartengono al primo gruppo (IA). Cosa caratterizza questi elementi?",Hanno un elettrone nell'orbitale s più esterno,Hanno elettronegativa più elevata rispetto ai composti del gruppo (IIA),Hanno un elettrone nell'orbitale px più esterno,Non reagiscono con l'acqua,Non si possono ossidare
Cosa determina le proprietà chimiche degli elementi?,Il numero atomico,La tavola periodica,La frazione molare,Il peso specifico,Il rapporto tra protoni e neutroni
"Una massa di molecole di bromuro di idrogeno, espressa in grammi, è pari al triplo della somma tra la massa atomica relativa del bromo e la massa atomica relativa dell'idrogeno. Qual è il numero di molecole che costituiscono tale massa? (PA del bromo = 80 u)","1,806 x 1024",non contiene molecole in quanto si tratta di un composto ionico,"6,02 x 1023","2,43 x 1022","243,01 x 1023"
Il composto con formula bruta MgBr2 è:,ionico,formato da molecole contenenti due legami covalenti polari,formato da molecole contenenti due legami covalenti puri,formato da molecole contenenti due legami covalenti doppi,basato sui legami metallici che uniscono i tre atomi
Quando avviene un innalzamento della temperatura di ebollizione di una soluzione acquosa dipende:,soltanto dal numero di particelle di soluto in soluzione,solo dalla natura chimica del soluto,solo dalla pressione osmotica,solo dalle forze di Van der Walls,solo dal calore latente
"Nella nomenclatura tradizionale degli ossidi, il suffisso -ico indica l'ossido:",in cui il metallo ha il numero di ossidazione maggiore,in cui il metallo ha numero di ossidazione +1,a maggior contenuto di ossigeno,in cui non è presente ossigeno,in cui il metallo forma un legame covalente omopolare con l'ossigeno
Quale delle seguenti molecole è polare?,CHCl3,CH4,CO2,N2,CCl4
Individuare tra i seguenti elementi quello che può formare legami ionici con il cloro.,Mg,P,C,Se,F
Individuare la formula chimica in cui lo zolfo ha numero di ossidazione pari a +4 e il ferro ha numero di ossidazione pari a +3.,Fe2(SO3)3,Fe2(SO)3,Fe2(SO4)3,FeS,Fe(SO3)3
Indicare quale tra le seguenti formule è quella del butano:,C4H10,C4H12,C3H8,C6H12,C2H6
Rispetto alla classificazione che si trova nella tavola periodica il fluoro fa parte del:,gruppo degli alogeni,gruppo dei lantanidi,secondo gruppo,quarto periodo,gruppo dei gas nobili
"Tra le seguenti affermazioni relative alla massa atomica, quale è ERRATA?",L’unità di massa atomica corrisponde a 1/12 della massa di 12 atomi di 12C,L’unità di massa atomica si indica con u,"L’unità di massa atomica è uguale a 1,66 x 10-27 kg",La massa atomica relativa di un atomo è pari al rapporto tra la massa assoluta dell’atomo e l’unità di massa atomica,"L’unità di massa atomica corrisponde a 1,66 x 10-24 g"
Calcio (Ca) e Stronzio (Sr):,appartengono ai metalli alcalino-terrosi,sono metalli di transizione,sono non metalli,appartengono ai metalli alcalini,fanno parte del gruppo III
Il numero o costante di Avogadro ha come unità di misura:,mol–1,g,kg,g/mol,g/l
Affinché ci sia una reazione chimica deve sempre avvenire:,un processo di rottura e formazione di legami,uno scambio di protoni,la formazione di un nuovo elemento chimico,un cambio di valenza di un elemento,la trasformazione di un elemento in un elemento diverso
La formula chimica dello ione idrogenosolfato è:,"–
HSO4","2–
SO4","–
HSO3",HS–,"–
H2SO4"
Una pila è:,un sistema in cui avviene una reazione di ossidoriduzione spontanea,un sistema in cui avviene un lavoro cinetico,un sistema in cui avviene sempre una reazione di sintesi,un sistema in cui avviene una reazione di neutralizzazione,un sistema in cui si trasforma energia cinetica in corrente
"Individuare, tra i seguenti composti, l’ossido acido.",B2O3,H2CO3,ZnO,BaO,NaClO
"In 6,0 g di elio con A = 4 sono:","contenuti 9,03 x 1023 atomi di elio","contenute 4,51 x 1023 molecole di elio",contenute 2 moli di elio,"contenuti 18,06 x 1023 atomi di elio",contenute 20 moli di elio
Dalla somma dei numeri di ossidazione di tutti gli atomi di uno ione si ottiene un numero:,pari alla carica dello ione,pari a zero,pari al numero di metalli presenti,pari al numero di non metalli presenti,multiplo del numero di ossidazione dei metalli presenti
Individuare la formula bruta dell’idrogenosolfito di alluminio,Al(HSO3)3,Al2(HSO3)3,Al(HSO4)3,Al(HSO3)2,Al(HSO4)2
L'evaporazione dell'acqua alla pressione ambientale avviene:,anche a temperature inferiori a 100 °C,a 100 °C indipendentemente dalla pressione ambientale,solo se priva di sali,solo se si trova in un sistema chiuso,con aumento di volume
"Quale delle seguenti affermazioni sul composto K2MnO4 è corretta? (P.A. di Mn = 54,9 u; P.A. di K = 39,0 u)",Nel composto il numero di ossidazione del manganese è +6,Il composto è chiamato permanganato di potassio,"Il composto si trova allo stato gassoso a 20°C e 1,0 atm",Nel composto il manganese ha il suo numero di ossidazione più elevato,"La massa molare del composto è 216,9 g/mol"
Quale delle seguenti affermazioni è corretta rispetto al composto HCl?,Presenta legame covalente polare,Il legame tra H e Cl è un legame ionico,Il legame tra H e Cl è un legame covalente puro,"La differenza di elettronegativa tra H e Cl è superiore a 1,9",Diventa polare solo quando HCl è in acqua
Solo una delle seguenti formule chimiche rappresenta un composto in cui il manganese ha N.O. = +7 e il piombo ha N.O. = +4. Quale?,Pb(MnO4)4,Pb2(MnO4)4,Pb(MnO3)4,Pb(MnO2)3,Pb2(MnO6)4
"Quanti elettroni sono presenti in 22,4 litri di elio a 0°C e 1 atm?","1,204 x 1024","2,408 x 1024","8,026 x 1024","4,013 x 1024","2,006 x 1024"
Un legame covalente singolo è caratterizzato dalla:,compartecipazione di due elettroni fra due atomi,condivisione di un elettone tra due atomi,condivisione di due coppie di elettroni fda atomi,condivisione di 8 elettoni tra gli atomi,sovrapposizione di due orbitali π
Si prenda in considerazione l'elemento che si trova nel gruppo 2 (secondo la nomenclatura tradizionale II A) e nel periodo 6. Si tratta di:,un metallo alcalino terroso,un metallo di transizione,non ci sono abbastanza informazioni per definirlo univocamente,un metallo nobile,un lantanide
Quale delle seguenti opzioni descrive la massa atomica relativa di un atomo?,Il rapporto tra la massa dell'atomo in esame e la dodicesima parte della massa dell'isotopo 12 del carbonio,Il rapporto tra la massa dell'atomo ed il volume del nucleo,Il rapporto tra la massa dell'atomo e quella dei suoi isotopi,La massa di un numero di avogadro di atomi,Nessuna delle altre alternative è corretta
Nella tavola periodica in quale gruppo si trova 0?,VI A,Degli alcalino terrosi,V B,VI B,Degli alogeni
"Data una qualunque reazione di ossidoriduzione, un ossidante:",acquista sempre elettroni,aumenta sempre il suo numero di ossigeni,aumenta il suo numero di ossidazione,si trasforma sempre in una specie più ossidata,riduce sempre il numero di ossigeni
Per quale sua proprietà l'acqua si presta a un utilizzo nei circuiti di raffreddamento?,Per la sua elevata capacità termica,Perché ha un basso calore latente di vaporizzazione,Perché è un liquido che non reagisce con altre sostanze,Perché è incomprimibile,Perché ha temperatura di ebollizione inferiore a quella di tutti i liquidi organici
In quale dei seguenti composti NON sono presenti legami covalenti doppi?,HCN,CO2,HCOOH,HNO2,O2
"Quanti protoni sono presenti in 11,2 litri di O2 a 0°C e 1 atm?","4,816 x 1024","2,408 x 1025","3,612 x 1025","7,224 x 1024","1,204 x 1025"
"Qual è la massa di 6,022 x 1023atomi di azoto?","14,0 g","140,0 g","7,0 g","3,0 g","28,0 g"
"Qual è il numero di atomi che costituiscono 20,7 g di litio? (PA del litio = 6,9 u)","18,06 x 1023","12,04 x 1024","9,03 x 1023","6,02 x 1024","8,02 x 1024"
Quante coppie di elettroni non condivisi sono presenti nello strato più esterno di ciascun atomo di cloro di una molecola di Cl2?,3,4,2,1,0
Nella tavola periodica gli elementi sono divisi in gruppi. Gli elementi che fanno parte dello stesso gruppo hanno tutti lo stesso:,numero di elettroni nello strato esterno,numero di neutroni,peso atomico,numero di protoni e neutroni,numero di protoni ed elettroni
Quale dei seguenti composti è un idracido?,H2S,HNO2,HBrO,KH,Nessuno
"I seguenti dati: 3,154 x 10-26 kg e 19,00 sono relativi alla massa dell'atomo di un elemento.
A quali valori di massa si riferiscono?","3,154 x 10-26 kg massa atomica assoluta e 19,00 massa atomica relativa","3,154 x 10-26 kg massa atomica relativa e 19,00 numero di massa (A)","3,154 x 10-26 kg massa atomica relativa e 19,00 numero atomico (Z)","3,154 x 10-26 kg numero atomico e 19,00 massa atomica relativa","3,154 x 10-26 kg numero di massa (A) e 19,00 numero atomico (Z)"
Quale dei seguenti composti è un ossido basico?,ZnO,SO3,NO2,CO2,Ca(OH)2
"Quale, tra i seguenti gruppi di composti organici, è costituito da tre composti che contengono almeno un atomo di carbonio con ibridazione sp2?",Propilene; acido butanoico; 2-propil-1-esene,Etilene; 1-butene; 1-propanolo,2-butino; 3-etilpentano; acido formico,n-butano; 2-metil-2-pentene; 2-metil-2-esene,"1,2,3-propantriolo; alcol benzilico; 3-metil-3-esene"
"Viene data una soluzione acquosa di glucosio e saccarosio. Sapendo che la frazione molare del glucosio è 0,07, quale tra le seguenti opzioni è corretta?","La frazione molare del saccarosio è 0,08 e quella dell'acqua 0,85","La frazione molare del saccarosio è 0,07 e quella dell'acqua 0,7",La frazione molare dell'acqua è 1 essendo il solvente,La frazione molare del saccarosio è sicuramente maggiore di quella del glucosio essendo il saccarosio un disaccaride,La somma della frazione molare di acqua e saccarosio è pari a 1
Si consideri un atomo con numero atomico 7 e numero di massa 15. possiamo affermare quindi che il numero di neutroni presenti nel nucleo di questo atomo è:,8,non si può dire,dipende dal tipo di isotopo,10,30
Un catalizzatore è una sostanza che influenza la:,velocità di reazione,resa della reazione,stechiometria della reazione,qualità del prodotto,differenza di energia tra reagenti e prodotti
Cosa si modifica di una sostanza in un passaggio di stato?,Il suo stato di aggregazione,La massa,Il punto di rugiada,Il numero di moli,Il numero di equivalenti
Una reazione avviene spontaneamente quando:,la somma della variazione di entropia dell'ambiente e del sistema è positiva,la variazione di entropia del sistema è minore di 0,la variazione di entropia dell'ambiente è maggiore di 0,la variazione di entropia dell'ambiente è minore di 0,la variazione di entropia del sistema è nulla
Quale tra le seguenti reazioni chimiche è una reazione di scambio semplice (o spostamento)?,2Na + 2H2O → H2 + 2NaOH,SO3 + H2O → H2SO4,CaCO3 → CaO + CO2,NiO + 2HNO3 → Ni(NO3)2 + H2O,2KOH + H2SO4 → K2SO4 + 2H2O
"Qual è la formula chimica di un composto costituito per l’87,5% da Si e per il 12,5% da H? (PA del silicio = 28 u)",SiH4,Si2H6,Si2H4,Si3H6,SiH2
"Qual è la formula chimica bruta del composto che, oltre all’acqua, si forma dalla reazione tra l’idrossido di magnesio e l’acido perclorico?",Mg(ClO4)2,MgCl2,MgClO3,Mg(ClO2)2,Mg3(ClO)2
Cosa differenzia un elemento e un composto?,"Un elemento è una sostanza pura che non può essere scomposta in due o più sostanze più semplici, mentre un composto è una sostanza pura che può essere scomposta in due o più sostanze più semplici",I composti hanno sempre origine sintetica mentre gli elementi sono solo naturali,"Nessuna differenza, elemento e composto sono sinonimi e rappresentano lo stesso tipo di sostanza",Un composto è formato da atomi tutti uguali mentre l'elemento si forma quando due o più atomi reagiscono tra loro,Nella formula degli elementi ci sono più simboli mentre nella formula del composto c'è un solo simbolo preso una sola volta
"L'etano è un idrocarburo saturo, il legame C-C presente nell'etano è un legame:",covalente apolare,doppio,triplo,idrogeno,ionico
Quale tra le seguenti opzioni si adatta a un atomo che espelle una particella alfa?,La massa dell'atomo diminuisce,La massa dell'atomo aumenta,La massa rimane inalterata ma cambia la disposizione di neutroni e protoni nel nucleo,L'atomo passa da neutro a catione,È impossibile che un atomo espella particelle alfa
"Tra i composti organici, i più semplici sono:",gli idrocarburi,le molecole di idrogeno,gli esteri,gli eteri,gli epossidi
Quale tra le seguenti caratteristiche è propria del neutrone?,Ha carica nulla,Ha massa pari a quella dell'elettrone,Ha massa di poco inferiore al protone,È privo di massa,Ha carica positiva
Un tipo di orbitali sono gli orbitali p. Una loro caratteristica è che:,sono orientati lungo 3 direzioni ortogonali tra loro dello spazio,ospitano in tutto 8 elettroni,possono contenere 3 elettroni ognuno,hanno forma a ciambella,formano angoli di 120°
Cosa caratterizza sempre una reazione di ossidazione?,La una perdita di elettroni,L'acquisizione di elettroni da parte del riducente,La formazione di legami ionici,La formazione di legami covalenti omopolari,La formazione di radicali
In quale delle seguenti molecole l’atomo centrale presenta ibridazione sp2?,HNO3,CO2,H2S,H2O,NH3
Quando una sostanza abbassa la barriera di attivazione di una reazione chimica si comporta da:,catalizzatore,reagente,prodotto,iniziatore radicalico,terminatore radicalico
"In un bicchiere vengono messi acqua e ghiaccio che si trovano all'equilibrio. Al sistema viene fornito calore, e finché sono presenti sia acqua che ghiaccio:",una parte di ghiaccio è convertita in acqua,la temperatura del sistema aumenta,la temperatura del sistema diminuisce,non cambia nulla nel sistema,nessuna delle altre risposte è corretta
Quanti elettroni non condivisi sono presenti nello strato più esterno di un atomo di fluoro della molecola HF?,6,7,5,4,3
La chimica organica studia:,composti chimici costituiti principalmente da carbonio idrogeno o da altri elementi presenti nelle molecole organiche,composti degli organismi viventi,composti derivati del petrolio,composti presenti negli organi,reazioni organiche tra metalli e non metalli
"Dato un cubo di ghiaccio in un bicchiere, una volta che il ghiaccio si sarà sciolto il livello dell'acqua:",rimarrà invariato,diminuirà di un volume pari a quello della parte immersa del ghiaccio,aumenterà di un volume pari a quello della parte emersa del ghiacco,aumenterà di un volume pari alla metà di quello del ghiaccio,diminuirà di un volume pari alla metà di quello del ghiaccio
"Liquidi, solidi e gas hanno caratteristiche diverse. Prendendo ad esempio i liquidi, sono caratterizzati da una forma che:",dipende da quella del recipiente,dipende dal volume del liquido,è propria indipendentemente dal recipiente,dipende dalla temperatura,dipende dalla pressione applicata nel recipiente
Tra gli isotopi dell'idrogeno c'è il trizio che ha numero di massa 3. Di conseguenza si può affermare che:,il nucleo del trizio è formato da un protone e due neutroni,il trizio ha tre protoni nel nucleo,il numero atomico del trizio è 3,la massa atomica del trizio è 2u,il trizio ha più protoni dell'idrogeno
L'anidride carbonica in condizioni normali è:,gassosa,una miscela in equilibrio di liquido gas e solido,un equilibrio tra CO2 e CO,in equilibrio con O2 e C,un solido di colore bianco
Secondo la nomenclatura tradizionale qual è il nome corretto da attribuire a Fe(ClO3)3?,Clorato ferrico,Perclorato ferrico,Clorato ferroso,Clorito ferrico,Clorito ferroso
Una tra le seguenti affermazioni relative alla tavola periodica degli elementi è ERRATA. Individuare quale.,Gli elementi sono ordinati in base al loro peso atomico,L'elettronegatività aumenta spostandosi da sinistra a destra e dal basso in alto,In ogni gruppo il peso atomico aumenta dall'alto in basso,Le proprietà periodiche variano gradualmente nell'ambito di un periodo,Gli elementi di uno stesso gruppo hanno proprietà chimiche simili
Il numero di moli di un soluto disciolte in un litro di soluzione è la definizione di:,molarità,percentuale peso/volume,percentuale volume/volume,molalità,normalità
In una molecola di acido nitroso sono presenti complessivamente:,tre orbitali molecolari σ e un orbitale molecolare π,due orbitali molecolari σ e un orbitale molecolare π,tre orbitali molecolari σ e due orbitali molecolari π,due orbitali molecolari σ e due orbitali molecolari π,un orbitale molecolare σ e tre orbitali molecolari π
Le moli di un soluto vengono disciolte in 1 Kg di solvente puro. L'unità di misura che meglio descrive questa soluzione è la:,molalità,molarità,percentuale peso/volume,percentuale volume/volume,frazione molare
Quale delle seguenti è la miglior definizione di punto di ebollizione in chimica?,La temperatura alla quale la pressione di vapore del liquido è uguale alla pressione atmosferica,La temperatura alla quale l'acqua è completamente allo stato di vapore,La trasformazione dallo stato liquido a quello gassoso,La temperatura alla quale la sostanza passa dallo stato solido a quello di vapore,Il passaggio da stato gassoso a stato liquido
Quale tra i seguenti elementi può formare legami ionici con l’ossigeno?,Li,N,S,As,Br
Che composto si forma dalla reazione tra l’acido bromico e l’ammoniaca?,NH4BrO3,(NH3)3BrO3,NH4Br,NH3BrO,NH4BrO5
"KIO4 è un composto inorganico, secondo la nomenclatura classica si chiama:",periodato di potassio,iodonuro di potassio,ipoiodito di potassio,perpotassato di iodio,tetrossipotassioioduro
In che molecole si trova il legame peptidico?,Nelle proteine,Nei carboidrati,Negli amminoacidi,Nelle catene nucleotidiche,Negli zuccheri complessi
Qual è il nome tradizionale del composto Pb(NO2)4?,Nitrito piombico,Nitrito piomboso,Nitrato piombico,Nitrato piomboso,Nitrito ipopiomboso
Il comportamento di un gas reale può essere considerato assai simile a quello di un gas ideale:,a bassa pressione e ad alta temperatura,a elevata pressione ed elevata temperatura,se il numero di molecole è assai alto,a elevata pressione e a bassa temperatura,a bassa pressione e bassa temperatura
Qual è il numero di atomi di idrogeno contenuti in due moli di solfato di ammonio?,"9,63 x 1024","16,0 x 1024","19,2 x 1024","4,81 x 1025","3,21 x 1025"
La reazione di idrolisi di un trigliceride con almeno 3 equivalenti di NaOH porta alla formazione di:,saponi e un alcol trivalente,fosfolipidi,grassi saturi,acido tricarbossilico ed alcoli,idrocarburi
Gli elementi della tavola periodica sono disposti in colonne dette:,gruppi,gruppi funzionali,periodi,pilastri,blocchi
Quali tra le seguenti caratteristiche rimane sempre invariata nei due membri di un'equazione chimica?,Il numero di atomi di ciascun elemento,Il numero di ossidazione di ogni elemento,La somma dei coefficienti stechiometrici,Il numero di legami,Il tipo di legami
L’atomo di alluminio deve:,perdere 3 elettroni per conseguire l’ottetto,perdere 4 elettroni per conseguire l’ottetto,perdere 5 elettroni per conseguire l’ottetto,acquisire 3 elettroni per conseguire l’ottetto,acquisire 4 elettroni per conseguire l’ottetto
In quale delle seguenti molecole l’atomo centrale presenta ibridazione sp?,CO2,BH3,SO2,PCl5,HNO3
Due composti sono definiti isomeri se:,presentano la stessa formula molecolare,presentano lo stesso punto di fusione,presentano proprietà chimiche e fisiche uguali,hanno sostituenti diversi dalla stessa parte,si differenziano per la presenza di isotopi differenti degli stessi atomi
Qual è la formula chimica dello ione clorato?,"–
ClO3","–
ClO4","–
Cl2O3","–
ClO2",ClO–
"Calcolare il numero di atomi di idrogeno presenti in 33,6 litri di metano a 0°C e 1 atm.","3,612 x 1024","18,06 x 1023","9,03 x 1023","6,03 x 1024","9,03 x 1022"
Si consideri la reazione FeO + Mn → MnO + Fe. Si tratta di una reazione di:,ossidoriduzione,sintesi,decomposizione,alogenazione,acilazione
Gli orbitali ibridi sp3 formano angoli di:,"109,5°",120°,180°,nessuna delle altre alternative è corretta,90°
Quale tra le seguenti caratteristiche è propria di un elemento riducente?,Quando reagisce si ossida,Diminuisce il suo stato di ossidazione quando reagisce,Quando reagisce tende ad acquisire elettroni,Quando reagisce riduce il suo numero di protoni,Quando reagisce si riduce
In quale delle seguenti molecole l’atomo centrale presenta ibridazione sp3?,NH3,HCN,BCl3,SF6,H2CO3
"L'acqua è diffusa in natura nei sue tre stati: liquido, solido e aeriforme.
Dal punto di vista chimico è:",un composto,una miscela eterogenea,un composto apolare,formata da idrogeno e ossigeno in rapporto molare 1:1,un elemento chimico
Quando si effettua la riduzione di un'aldeide si ottiene:,un alcol primario,un acido,un etere,un'ammide,un diolo
"I seguenti dati: 26,5 x 10-27 kg e 15,99 sono relativi alla massa media della miscela naturale degli isotopi di un elemento. Di quale elemento si tratta?",Ossigeno,Fluoro,Azoto,Cloro,Zolfo
Qual è la formula chimica dello ione fluoruro?,F–,F2–,HF–,FO–,F2O–
Una delle seguenti formule chimiche NON è possibile. Quale?,Pb3Cr2O7,Ba(NO3)2,Ca(ClO3)2,MgO,NaBrO3
Il processo cloro-soda veniva utilizzato per produrre cloro gassoso partendo da NaCl e utilizzando un elettrodo di mercurio. La produzione del cloro avveniva dunque:,tramite una reazione elettrolitica,tramite una reazione di doppio scambio,tramite una reazione di scambio,tramite un processo fisico,per reazione di salificazione
In quale dei seguenti composti la percentuale di magnesio risulta maggiore?,MgF2,MgCl2,MgBr2,MgI2,MgAt2
La miscela racemica è:,una miscela in parti uguali di due enantiomeri,una soluzione di un composto con 2 centri chirali,una miscela qualsiasi di diasteroisomeri,una miscela di due isomeri strutturali,una miscela di isomeri cis-trans
Individuare la reazione di decomposizione,2NaHCO3 → Na2CO3 + CO2 + H2O,2Mg + SiO2 → 2MgO + Si,5C + 2P2O5 → 5CO2 + P4,Cl2 + H2 → 2HCl,NH4Cl + KOH → NH3 + KCl + H2O
Una mole di atomi di sodio (Z = 11) e una mole di atomi di potassio (Z = 19):,sono costituite dallo stesso numero di atomi,hanno la stessa massa atomica assoluta,possiedono lo stesso numero di neutroni,hanno la stessa massa atomica relativa,possiedono lo stesso numero di elettroni
